Category,Control, priority ,Mod
VPC,Unused EC2 security groups should be removed, p2 ,Compliance
VPC,VPC default security group should not allow inbound and outbound traffic, p1 ,Compliance
VPC,VPC EIPs should be associated with an EC2 instance or ENI, p3 ,Compliance
VPC,VPC endpoint services should have acceptance required enabled, p2 ,Compliance
VPC,VPC flow logs should be enabled, p2 ,Compliance
VPC,VPC gateway endpoints should restrict public access, p3 ,Compliance
VPC,VPC internet gateways should be attached to authorized vpc, p3 ,Compliance
VPC,VPC network access control lists (network ACLs) should be associated with a subnet., p3 ,Compliance
VPC,VPC route table should restrict public access to IGW, p3 ,Compliance
VPC,VPC security groups should be associated with at least one ENI, p2 ,Compliance
VPC,VPC Security groups should only allow unrestricted incoming traffic for authorized ports, p2 ,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to cassandra ports 7199 or 9160 or 8888, p1 ,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to memcached port 11211, p1 ,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to mongoDB ports 27017 and 27018, p1 ,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to oracle ports 1521 or 2483, p1 ,Compliance
VPC,VPC security groups should restrict ingress Kafka port access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict ingress kibana port access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict ingress redis access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict ingress SSH access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict ingress TCP and UDP access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict uses of 'launch-wizard' security groups., p2 ,Compliance
VPC,VPC should be configured to use VPC endpoints, p3 ,Compliance
VPC,VPCs peering connection route tables should have least privilege, p3 ,Compliance
VPC,VPCs peering connection should not be allowed in cross account, p3 ,Compliance
VPC,VPCs should be in use, p3 ,Compliance
VPC,VPCs should exist in multiple regions, p3 ,Compliance
VPC,VPCs should have both public and private subnets configured, p1 ,Compliance
VPC,VPCs subnets should exist in multiple availability zones, p3 ,Compliance
VPC,VPC subnet auto assign public IP should be disabled, p1 ,Compliance
WAF,WAF global rule group should have at least one rule, p3 ,Compliance
WAF,WAF global rule should have at least one condition, p3 ,Compliance
WAF,WAF global web ACL should have at least one rule or rule group, p1 ,Compliance
WAF,WAF regional rule group should have at least one rule attached, p3 ,Compliance
WAF,WAF regional rule should have at least one condition, p3 ,Compliance
WAF,WAF regional web ACL should have at least one rule or rule group attached, p3 ,Compliance
WAF,WAF web ACL logging should be enabled, p1 ,Compliance
WAFv2,A WAFV2 web ACL should have at least one rule or rule group, p3 ,Compliance
WAFv2,AWS WAF rules should have CloudWatch metrics enabled, p2 ,Compliance
WAFv2,Logging should be enabled on AWS WAFv2 regional and global web access control list (ACLs), p1 ,Compliance
WorkSpaces,WorkSpaces root and user volume encryption should be enabled, p2 ,Compliance
""
